brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
Maruti,Swift VXI,Manual,2011,01-02-2011,Petrol,1197,28823,1st owner,223000,10513,TRUE,No,DL1C,2011 Maruti Swift VXI
Honda,Brio VX MT,Manual,2013,01-11-2013,Petrol,1198,78963,2nd owner,252000,6648,TRUE,Yes,HR51,2013 Honda Brio VX MT
Maruti,Ciaz ZETA 1.4  AT PETROL,Automatic,2017,01-08-2017,Petrol,1373,91712,1st owner,596000,11643,TRUE,No,DL8C,2017 Maruti Ciaz ZETA 1.4  AT PETROL
Maruti,New Wagon-R VXI 1.0 AMT,Automatic,2022,01-05-2022,Petrol,998,22666,1st owner,574000,11222,TRUE,No,DL14,2022 Maruti New Wagon-R VXI 1.0 AMT
Ford,Ecosport TITANIUM 1.5L PETROL AT,Automatic,2017,01-03-2018,Petrol,1499,48832,1st owner,605000,11832,TRUE,Yes,HR51,2017 Ford Ecosport TITANIUM 1.5L PETROL AT
Maruti,Baleno DELTA PETROL 1.2,Manual,2017,01-09-2017,Petrol,1197,31714,1st owner,485000,9482,TRUE,No,DL2C,2017 Maruti Baleno DELTA PETROL 1.2
Maruti,Celerio ZXI AMT,Automatic,2016,01-08-2016,Petrol,998,65734,1st owner,386000,7537,TRUE,No,UP14,2016 Maruti Celerio ZXI AMT
Maruti,Ciaz ZETA 1.4  AT PETROL,Automatic,2017,01-09-2017,Petrol,1373,93032,2nd owner,527000,10296,TRUE,No,DL2C,2017 Maruti Ciaz ZETA 1.4  AT PETROL
Maruti,Baleno ZETA PETROL 1.2,Manual,2017,01-12-2017,Petrol,1197,29508,2nd owner,511000,9999,TRUE,Yes,DL9C,2017 Maruti Baleno ZETA PETROL 1.2
Maruti,Swift VXI,Manual,2011,01-02-2011,Petrol,1197,28799,1st owner,222000,10456,TRUE,No,HR26,2011 Maruti Swift VXI
Tata,Tiago XT CNG,Manual,2022,01-06-2022,CNG,1199,19968,1st owner,626000,12238,TRUE,No,HR98,2022 Tata Tiago XT CNG
Maruti,Dzire ZXI AMT,Automatic,2019,01-02-2019,Petrol,1197,80225,1st owner,628000,12278,TRUE,No,DL8C,2019 Maruti Dzire ZXI AMT
Maruti,Celerio VXI AMT,Automatic,2017,01-10-2017,Petrol,,29841,1st owner,432000,8450,TRUE,No,HR26,2017 Maruti Celerio VXI AMT
Renault,Kwid RXT 1.0 AMT (O),Automatic,2020,01-01-2021,Petrol,999,52957,1st owner,397000,7761,TRUE,No,DL3C,2020 Renault Kwid RXT 1.0 AMT (O)
Tata,Tiago XT CNG,Manual,2022,01-03-2022,CNG,1199,12693,1st owner,624000,12199,TRUE,Yes,DL5C,2022 Tata Tiago XT CNG
Maruti,S PRESSO LXI,Manual,2020,01-06-2020,Petrol,998,39602,1st owner,344000,6731,TRUE,No,UP16,2020 Maruti S PRESSO LXI
Maruti,Swift Dzire VXI,Manual,2012,01-06-2012,Petrol,1197,54388,1st owner,280000,9291,TRUE,No,DL3C,2012 Maruti Swift Dzire VXI
Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2018,01-09-2018,Petrol,1462,76461,2nd owner,687000,13434,TRUE,No,UP16,2018 Maruti Ciaz ALPHA 1.5 SHVS PETROL
Mahindra,XUV300 W8 (O) 1.2 PETROL AMT,Automatic,2022,01-02-2022,Petrol,1197,13045,1st owner,1127000,21451,TRUE,Yes,HR51,2022 Mahindra XUV300 W8 (O) 1.2 PETROL AMT
Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2018,01-06-2018,Petrol,1197,54458,2nd owner,522000,10211,TRUE,No,HR87,2018 Maruti Baleno ZETA CVT PETROL 1.2
Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,2019,01-07-2019,Petrol,1462,31561,1st owner,761000,14880,TRUE,No,UP14,2019 Maruti Ciaz DELTA AT 1.5 SHVS PETROL
Maruti,Baleno DELTA PETROL 1.2,Manual,2021,01-07-2021,Petrol,1197,33986,1st owner,644000,12582,TRUE,Yes,UP14,2021 Maruti Baleno DELTA PETROL 1.2
Maruti,XL6 ZETA AT,Automatic,2019,01-01-2020,Petrol,1462,54342,1st owner,921000,17530,TRUE,No,HR70,2019 Maruti XL6 ZETA AT
Tata,TIGOR XZ PLUS CNG,Manual,2022,01-06-2022,CNG,1199,39086,1st owner,747000,14607,TRUE,Yes,DL14,2022 Tata TIGOR XZ PLUS CNG
MG,HECTOR SHARP 2.0 DIESEL,Manual,2021,01-02-2021,Diesel,1956,64687,1st owner,1548000,29465,TRUE,No,HR26,2021 MG HECTOR SHARP 2.0 DIESEL
Maruti,Baleno ZETA PETROL 1.2,Manual,2020,01-03-2020,Petrol,1197,51871,2nd owner,610000,11933,TRUE,No,HR26,2020 Maruti Baleno ZETA PETROL 1.2
Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,2018,01-10-2018,Petrol,1197,70318,1st owner,509000,9954,TRUE,No,DL6C,2018 Maruti Baleno DELTA CVT PETROL 1.2
Hyundai,GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,Manual,2020,01-11-2020,Petrol,1197,20631,2nd owner,531000,10381,TRUE,Yes,DL8C,2020 Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT
Maruti,Wagon R 1.0 LXI,Manual,2012,01-07-2012,Petrol,998,32697,1st owner,216000,7184,TRUE,No,DL12,2012 Maruti Wagon R 1.0 LXI
Maruti,Baleno DELTA PETROL 1.2,Manual,2015,01-11-2015,Petrol,1197,69308,1st owner,416000,8135,TRUE,Yes,DL12,2015 Maruti Baleno DELTA PETROL 1.2
Maruti,Celerio VXI AMT,Automatic,2015,01-09-2015,Petrol,998,64427,2nd owner,324000,6326,TRUE,Yes,UP14,2015 Maruti Celerio VXI AMT
Maruti,Wagon R 1.0 VXI,Manual,2014,01-07-2014,Petrol,998,65948,2nd owner,268000,5972,TRUE,Yes,DL2C,2014 Maruti Wagon R 1.0 VXI
Honda,City 1.5L I-VTEC V MT,Manual,2014,01-05-2014,Petrol,1497,50829,1st owner,497000,11045,TRUE,No,HR26,2014 Honda City 1.5L I-VTEC V MT
Hyundai,i20 MAGNA 1.2,Manual,2011,01-05-2011,Petrol,1197,34169,1st owner,215000,10121,TRUE,No,DL3C,2011 Hyundai i20 MAGNA 1.2
Toyota,Etios V,Manual,2011,01-01-2011,Petrol,1496,83914,1st owner,212000,9980,TRUE,Yes,DL7C,2011 Toyota Etios V
Maruti,Ciaz VXI+,Manual,2015,01-05-2015,Petrol,1373,109884,1st owner,424000,9432,TRUE,No,DL14,2015 Maruti Ciaz VXI+
Renault,Kwid CLIMBER 1.0 (O),Manual,2020,01-01-2021,Petrol,999,35932,1st owner,408000,7970,TRUE,No,UP14,2020 Renault Kwid CLIMBER 1.0 (O)
Maruti,Celerio ZXI AMT (O),Automatic,2017,01-06-2017,Petrol,998,41900,1st owner,396000,7736,TRUE,No,UP14,2017 Maruti Celerio ZXI AMT (O)
Renault,Kwid CLIMBER 1.0 AMT (O),Automatic,2020,01-11-2020,Petrol,999,21527,2nd owner,418000,8177,TRUE,No,DL7C,2020 Renault Kwid CLIMBER 1.0 AMT (O)
Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,Automatic,2014,01-07-2014,Petrol,1197,80495,2nd owner,360000,8014,TRUE,Yes,DL10,2014 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT
Maruti,Swift VXI,Manual,2013,01-04-2013,Petrol,1197,82502,1st owner,281000,7406,TRUE,No,HR51,2013 Maruti Swift VXI
Hyundai,i20 SPORTZ 1.2,Manual,2011,01-08-2011,Petrol,1197,82650,1st owner,209000,9856,TRUE,Yes,HR26,2011 Hyundai i20 SPORTZ 1.2
Maruti,S PRESSO VXI PLUS AMT,Automatic,2021,01-02-2021,Petrol,998,27180,1st owner,466000,9104,TRUE,No,DL9C,2021 Maruti S PRESSO VXI PLUS AMT
Honda,WR-V 1.5L I-DTEC VX MT,Manual,2020,01-12-2020,Diesel,1498,45972,1st owner,692000,13525,TRUE,No,HR26,2020 Honda WR-V 1.5L I-DTEC VX MT
Toyota,Etios Liva G,Manual,2013,01-05-2013,Petrol,1197,103571,2nd owner,257000,6768,TRUE,No,HR51,2013 Toyota Etios Liva G
Tata,NEXON XZ PLUS (O) PETROL DARK EDITION,Manual,2022,01-08-2022,Petrol,1199,14842,1st owner,1002000,19080,TRUE,No,DL3C,2022 Tata NEXON XZ PLUS (O) PETROL DARK EDITION
Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2017,01-06-2017,Petrol,1197,40326,2nd owner,522000,10202,TRUE,Yes,DL8C,2017 Maruti Baleno ZETA CVT PETROL 1.2
Hyundai,i20 SPORTZ 1.2,Manual,2011,01-06-2011,Petrol,1197,71630,1st owner,209000,9838,TRUE,Yes,DL3C,2011 Hyundai i20 SPORTZ 1.2
Honda,Amaze 1.2L I-VTEC S,Manual,2015,01-04-2015,Petrol,1198,95876,1st owner,328000,6412,TRUE,No,DL2C,2015 Honda Amaze 1.2L I-VTEC S
Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2018,01-09-2018,Petrol,1197,37067,1st owner,608000,11879,TRUE,Yes,UP32,2018 Maruti Baleno ZETA CVT PETROL 1.2
Hyundai,VENUE SX 1.0 TURBO IMT,Manual,2021,01-12-2021,Petrol,998,50568,1st owner,881000,16769,TRUE,No,DL7C,2021 Hyundai VENUE SX 1.0 TURBO IMT
Maruti,Ritz LXI,Manual,2011,01-09-2011,Petrol,1197,41391,1st owner,181000,8520,TRUE,No,DL1C,2011 Maruti Ritz LXI
Mahindra,XUV300 W8 (O) 1.2 PETROL,Manual,2020,01-06-2020,Petrol,1197,31607,1st owner,859000,16350,TRUE,No,HR26,2020 Mahindra XUV300 W8 (O) 1.2 PETROL
Hyundai,Creta EX 1.6 PETROL,Manual,2019,01-09-2019,Petrol,1591,19577,1st owner,926000,17626,TRUE,No,HR26,2019 Hyundai Creta EX 1.6 PETROL
Tata,NEXON XZ PLUS PETROL SUNROOF,Manual,2022,01-01-2022,Petrol,1199,42490,1st owner,975000,18558,TRUE,Yes,UP16,2022 Tata NEXON XZ PLUS PETROL SUNROOF
Mahindra,XUV300 W8 1.5 DIESEL AMT,Automatic,2020,01-01-2021,Diesel,1497,64788,1st owner,883000,16803,TRUE,No,HR51,2020 Mahindra XUV300 W8 1.5 DIESEL AMT
Ford,Ecosport TITANIUM 1.5L PETROL,Manual,2016,01-02-2017,Petrol,1499,92575,1st owner,517000,10113,TRUE,Yes,UP16,2016 Ford Ecosport TITANIUM 1.5L PETROL
Maruti,XL6 ZETA MT,Manual,2022,01-04-2022,Petrol,1462,16405,1st owner,1060000,20176,TRUE,No,HR51,2022 Maruti XL6 ZETA MT
Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,2020,01-02-2020,CNG,998,67693,1st owner,504000,9853,TRUE,No,HR51,2020 Maruti New Wagon-R LXI CNG (O) 1.0
Maruti,New Wagon-R LXI 1.0,Manual,2022,01-06-2022,Petrol,998,24887,1st owner,520000,10157,TRUE,No,HR72,2022 Maruti New Wagon-R LXI 1.0
Maruti,Ciaz ZETA 1.4  AT PETROL,Automatic,2018,01-04-2018,Petrol,1373,119997,1st owner,643000,14313,TRUE,Yes,UP16,2018 Maruti Ciaz ZETA 1.4  AT PETROL
Maruti,Baleno DELTA PETROL 1.2,Manual,2015,01-12-2015,Petrol,1197,75397,1st owner,406000,7933,TRUE,No,DL12,2015 Maruti Baleno DELTA PETROL 1.2
Hyundai,Grand i10 MAGNA AT 1.2 KAPPA VTVT,Automatic,2016,01-10-2016,Petrol,1197,25133,2nd owner,424000,8296,TRUE,No,HR26,2016 Hyundai Grand i10 MAGNA AT 1.2 KAPPA VTVT
Maruti,Celerio X ZXI (O) AMT,Automatic,2018,01-08-2018,Petrol,998,54534,2nd owner,412000,8050,TRUE,No,UP14,2018 Maruti Celerio X ZXI (O) AMT
Mahindra,XUV300 W8 (O) 1.2 PETROL AMT,Automatic,2021,01-07-2021,Petrol,1197,16848,1st owner,1108000,21084,TRUE,No,HR98,2021 Mahindra XUV300 W8 (O) 1.2 PETROL AMT
Renault,Kwid CLIMBER 1.0 AMT (O),Automatic,2020,01-07-2020,Petrol,999,24963,1st owner,442000,8637,TRUE,No,UP16,2020 Renault Kwid CLIMBER 1.0 AMT (O)
Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,Automatic,2015,01-12-2015,Petrol,1197,80208,2nd owner,434000,8480,TRUE,Yes,DL8C,2015 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT
Maruti,Swift LXI (O),Manual,2017,01-01-2017,Petrol,1197,58539,1st owner,420000,8205,TRUE,No,DL1C,2017 Maruti Swift LXI (O)
Maruti,Ciaz ALPHA 1.4 PETROL,Manual,2017,01-08-2017,Petrol,1373,60227,1st owner,619000,12104,TRUE,No,DL10,2017 Maruti Ciaz ALPHA 1.4 PETROL
Nissan,MAGNITE XL,Manual,2022,01-06-2022,Petrol,999,15128,1st owner,616000,12051,TRUE,No,DL3C,2022 Nissan MAGNITE XL
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2017,01-10-2017,Petrol,,45515,2nd owner,417000,8148,TRUE,Yes,UP14,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
Toyota,Etios G,Manual,2015,01-10-2015,Petrol,1496,94749,1st owner,325000,6344,TRUE,Yes,DL12,2015 Toyota Etios G
Maruti,Celerio ZXI AMT (O),Automatic,2016,01-08-2016,Petrol,998,47575,1st owner,429000,8387,TRUE,Yes,DL12,2016 Maruti Celerio ZXI AMT (O)
Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Manual,2016,01-04-2016,Petrol,1197,72615,1st owner,412000,8061,TRUE,No,HR29,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2017,01-05-2017,Petrol,1197,60546,1st owner,386000,7546,TRUE,No,DL8C,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
Maruti,S PRESSO VXI+,Manual,2020,01-11-2020,Petrol,998,43141,2nd owner,386000,7550,TRUE,No,DL12,2020 Maruti S PRESSO VXI+
Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,2018,01-11-2018,Petrol,1197,94466,1st owner,475000,9281,TRUE,No,HR51,2018 Maruti Baleno DELTA CVT PETROL 1.2
Maruti,Swift VXI,Manual,2011,01-02-2011,Petrol,1197,47760,1st owner,223000,10497,TRUE,No,DL3C,2011 Maruti Swift VXI
Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,Manual,2019,01-07-2019,Petrol,1462,46705,1st owner,714000,13959,TRUE,No,UP16,2019 Maruti Ciaz DELTA 1.5 SHVS MT PETROL
Honda,City 1.5L I-VTEC V MT,Manual,2015,01-01-2016,Petrol,1497,60965,1st owner,551000,10770,TRUE,No,HR26,2015 Honda City 1.5L I-VTEC V MT
Mahindra,XUV300 W8 (O) 1.2 PETROL,Manual,2019,01-04-2019,Petrol,1197,48044,1st owner,836000,15912,TRUE,No,DL12,2019 Mahindra XUV300 W8 (O) 1.2 PETROL
Tata,NEXON XZ PLUS PETROL SUNROOF,Manual,2021,01-07-2021,Petrol,1199,29284,1st owner,939000,17878,TRUE,Yes,DL11,2021 Tata NEXON XZ PLUS PETROL SUNROOF
Hyundai,i10 MAGNA 1.2,Manual,2011,01-05-2011,Petrol,1197,65182,2nd owner,194000,9132,TRUE,No,DL7C,2011 Hyundai i10 MAGNA 1.2
Mahindra,XUV500 W11 AT,Automatic,2019,01-04-2019,Diesel,2179,53206,2nd owner,1202000,26145,TRUE,Yes,UP16,2019 Mahindra XUV500 W11 AT
Mahindra,XUV300 W8(O) 1.2 PETROL DUAL TONE,Manual,2021,01-10-2021,Petrol,1197,12532,1st owner,1011000,19250,TRUE,Yes,DL12,2021 Mahindra XUV300 W8(O) 1.2 PETROL DUAL TONE
Maruti,Baleno ALPHA PETROL 1.2,Manual,2017,01-05-2017,Petrol,1197,78186,1st owner,538000,10518,TRUE,No,DL8C,2017 Maruti Baleno ALPHA PETROL 1.2
Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2017,01-04-2017,Petrol,1197,36618,1st owner,542000,10596,TRUE,Yes,DL7C,2017 Maruti Baleno ZETA CVT PETROL 1.2
Tata,TIGOR XZ PLUS CNG,Manual,2022,01-08-2022,CNG,1199,37621,1st owner,723000,14141,TRUE,No,UP14,2022 Tata TIGOR XZ PLUS CNG
Maruti,Ciaz VXI+,Manual,2015,01-04-2015,Petrol,1373,94942,1st owner,470000,9189,TRUE,No,DL9C,2015 Maruti Ciaz VXI+
Maruti,Ciaz ALPHA DIESEL 1.5,Manual,2019,01-04-2019,Diesel,1498,92478,3rd owner,702000,15609,TRUE,No,HR26,2019 Maruti Ciaz ALPHA DIESEL 1.5
Hyundai,i10 MAGNA 1.2,Manual,2011,01-10-2011,Petrol,1197,75338,2nd owner,164000,7740,TRUE,No,HR12,2011 Hyundai i10 MAGNA 1.2
Maruti,Baleno ALPHA PETROL 1.2,Manual,2019,01-06-2019,Petrol,,41726,1st owner,649000,12684,TRUE,No,DL9C,2019 Maruti Baleno ALPHA PETROL 1.2
Hyundai,i10 SPORTZ 1.2,Manual,2011,01-04-2011,Petrol,1197,55760,2nd owner,178000,8396,TRUE,No,DL10,2011 Hyundai i10 SPORTZ 1.2
Honda,Amaze 1.2L I-VTEC S,Manual,2019,01-05-2019,CNG,1199,70849,2nd owner,514000,10051,TRUE,No,HR26,2019 Honda Amaze 1.2L I-VTEC S
Maruti,Swift LXI,Manual,2019,01-09-2019,Petrol,1197,57073,1st owner,447000,8739,TRUE,No,DL5C,2019 Maruti Swift LXI
Maruti,Swift ZXI,Manual,2019,01-12-2019,Petrol,1197,43834,1st owner,577000,11275,TRUE,No,HR26,2019 Maruti Swift ZXI
Tata,ALTROZ XE PETROL,Manual,2021,01-07-2021,Petrol,1199,10551,2nd owner,522000,10199,TRUE,No,DL5C,2021 Tata ALTROZ XE PETROL
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,01-04-2023,Petrol,1462,8502,2nd owner,994000,18920,TRUE,No,HR87,2023 Maruti BREZZA ZXI SMART HYBRID
Mahindra,Thar LX PETROL HT 4WD AT,Automatic,2021,01-02-2021,Petrol,1997,38659,2nd owner,1231000,23431,TRUE,No,HR98,2021 Mahindra Thar LX PETROL HT 4WD AT
Toyota,URBAN CRUISER MID GRADE MT,Manual,2022,01-05-2022,Petrol,1462,28970,1st owner,825000,15703,TRUE,Yes,DL14,2022 Toyota URBAN CRUISER MID GRADE MT
Maruti,BREZZA ZXI SMART HYBRID,Manual,2023,01-01-2024,Petrol,1462,7048,1st owner,1176000,22388,TRUE,No,UP16,2023 Maruti BREZZA ZXI SMART HYBRID
Maruti,Dzire VXI,Manual,2020,01-07-2020,Petrol,1197,44365,1st owner,583000,11396,TRUE,No,DL12,2020 Maruti Dzire VXI
Hyundai,Elite i20 SPORTZ 1.2,Manual,2015,01-09-2015,Petrol,1197,76596,2nd owner,397000,7761,TRUE,Yes,DL7C,2015 Hyundai Elite i20 SPORTZ 1.2
KIA,SELTOS HTE 1.5 DIESEL,Manual,2022,01-06-2022,Diesel,1493,36166,1st owner,1034000,19681,TRUE,Yes,HR49,2022 KIA SELTOS HTE 1.5 DIESEL
MG,HECTOR SUPER 1.5 PETROL,Manual,2020,01-06-2020,Petrol,1451,67143,1st owner,994000,18920,TRUE,Yes,DL3C,2020 MG HECTOR SUPER 1.5 PETROL
Hyundai,Santro Xing GLS,Manual,2013,01-04-2013,Petrol,1086,59572,1st owner,197000,5182,TRUE,No,UP14,2013 Hyundai Santro Xing GLS
Tata,TIAGO EV XT LONG RANGE,Automatic,2023,01-12-2023,Electric,,10423,1st owner,875000,16655,TRUE,No,UP16,2023 Tata TIAGO EV XT LONG RANGE
Maruti,Swift VXI AMT,Automatic,2021,01-07-2021,Petrol,1197,11486,1st owner,616000,12043,TRUE,No,DL9C,2021 Maruti Swift VXI AMT
Maruti,Ciaz VXI+,Manual,2015,01-11-2015,Petrol,1373,45419,1st owner,459000,8974,TRUE,Yes,DL5C,2015 Maruti Ciaz VXI+
Hyundai,NEW I20 N LINE N6 1.0 TURBO GDI IMT,Manual,2022,01-04-2022,Petrol,998,10797,1st owner,919000,17489,TRUE,No,UP14,2022 Hyundai NEW I20 N LINE N6 1.0 TURBO GDI IMT
Honda,Amaze 1.2L I-VTEC S,Manual,2022,01-05-2022,Petrol,1199,10819,1st owner,708000,13842,TRUE,No,DL5C,2022 Honda Amaze 1.2L I-VTEC S
Jeep,Compass LIMITED PLUS DIESEL 4X4,Manual,2019,01-05-2019,Diesel,1956,36398,1st owner,1357000,29511,TRUE,No,HR51,2019 Jeep Compass LIMITED PLUS DIESEL 4X4
Hyundai,Elite i20 MAGNA 1.2,Manual,2015,01-06-2015,Petrol,1197,66783,1st owner,428000,8363,TRUE,No,DL10,2015 Hyundai Elite i20 MAGNA 1.2
Jeep,Compass SPORT PLUS 2.0 DIESEL,Manual,2019,01-05-2019,Diesel,1956,45323,1st owner,994000,21612,TRUE,No,DL3C,2019 Jeep Compass SPORT PLUS 2.0 DIESEL
Mahindra,Thar LX PETROL HT 4WD AT,Automatic,2021,01-08-2021,Petrol,1997,19467,1st owner,1334000,25391,TRUE,Yes,HR98,2021 Mahindra Thar LX PETROL HT 4WD AT
Honda,Amaze 1.2L I-VTEC EX,Manual,2013,01-07-2013,Petrol,1198,107855,2nd owner,249000,6551,TRUE,No,HR20,2013 Honda Amaze 1.2L I-VTEC EX
Tata,Safari XMA,Automatic,2022,01-05-2022,Diesel,1956,20858,1st owner,1715000,32649,TRUE,No,HR98,2022 Tata Safari XMA
Honda,Amaze 1.2L I-VTEC S,Manual,2019,01-02-2019,Petrol,1199,56996,1st owner,581000,11353,TRUE,Yes,DL7C,2019 Honda Amaze 1.2L I-VTEC S
Honda,Brio VX AT,Automatic,2015,01-11-2015,Petrol,1198,44303,1st owner,380000,7429,TRUE,No,HR03,2015 Honda Brio VX AT
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2018,01-03-2018,Petrol,1197,41163,3rd owner,382000,7468,TRUE,Yes,DL12,2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
Honda,Amaze 1.2L I-VTEC S CVT,Automatic,2018,01-08-2018,Petrol,1199,49616,2nd owner,553000,10811,TRUE,No,DL1C,2018 Honda Amaze 1.2L I-VTEC S CVT
Maruti,Baleno ALPHA CVT PETROL 1.2,Automatic,2020,01-02-2020,Petrol,1197,27579,2nd owner,670000,13092,TRUE,No,DL9C,2020 Maruti Baleno ALPHA CVT PETROL 1.2
Maruti,Alto VXI,Manual,2022,01-11-2022,Petrol,796,2116,1st owner,406000,7929,TRUE,No,DL12,2022 Maruti Alto VXI
Honda,Amaze 1.2L I-VTEC S,Manual,2019,01-05-2019,Petrol,1199,54392,1st owner,562000,10983,TRUE,No,HR26,2019 Honda Amaze 1.2L I-VTEC S
Hyundai,i20 Active 1.2 SX,Manual,2015,01-10-2015,Petrol,1197,51152,1st owner,477000,9325,TRUE,No,DL8C,2015 Hyundai i20 Active 1.2 SX
Maruti,Dzire VXI,Manual,2020,01-08-2020,Petrol,1197,30892,1st owner,608000,11886,TRUE,Yes,DL8C,2020 Maruti Dzire VXI
Maruti,Wagon R 1.0 VXI,Manual,2017,01-01-2018,Petrol,998,43944,1st owner,335000,6549,TRUE,No,HR51,2017 Maruti Wagon R 1.0 VXI
Renault,TRIBER RXL MT,Manual,2022,01-06-2022,Petrol,999,36809,2nd owner,652000,12741,TRUE,No,UP14,2022 Renault TRIBER RXL MT
Tata,NEXON XZA PLUS DIESEL,Automatic,2022,01-08-2022,Diesel,1497,34248,1st owner,1089000,20733,TRUE,No,HR08,2022 Tata NEXON XZA PLUS DIESEL
Hyundai,Xcent S (O) 1.2,Manual,2014,01-10-2014,Petrol,1197,88848,2nd owner,269000,5984,TRUE,No,DL12,2014 Hyundai Xcent S (O) 1.2
Hyundai,i20 SPORTZ 1.2,Manual,2014,01-04-2014,Petrol,1197,54137,1st owner,362000,8058,TRUE,Yes,DL8C,2014 Hyundai i20 SPORTZ 1.2
Tata,NEXON XZ PLUS DIESEL SUNROOF,Manual,2020,01-09-2020,Diesel,1497,25672,1st owner,938000,17854,TRUE,No,HR98,2020 Tata NEXON XZ PLUS DIESEL SUNROOF
Maruti,Alto 800 LXI,Manual,2016,01-03-2016,Petrol,796,49442,1st owner,234000,4575,TRUE,No,UP81,2016 Maruti Alto 800 LXI
Tata,NEXON XZ PLUS PETROL,Manual,2022,01-06-2022,Petrol,1199,30719,1st owner,831000,15819,TRUE,No,HR98,2022 Tata NEXON XZ PLUS PETROL
Maruti,Swift LXI (O),Manual,2017,01-10-2017,CNG,1197,88225,1st owner,407000,7957,TRUE,No,HR51,2017 Maruti Swift LXI (O)
Mahindra,XUV500 W9 AT,Automatic,2019,01-10-2019,Diesel,2179,47525,2nd owner,1119000,24330,TRUE,Yes,DL8C,2019 Mahindra XUV500 W9 AT
Maruti,Wagon R 1.0 LXI,Manual,2014,01-01-2014,Petrol,998,57918,2nd owner,251000,5583,TRUE,No,DL5C,2014 Maruti Wagon R 1.0 LXI
Maruti,Baleno ALPHA CVT PETROL 1.2,Automatic,2019,01-03-2019,Petrol,1197,47915,2nd owner,627000,12258,TRUE,No,DL10,2019 Maruti Baleno ALPHA CVT PETROL 1.2
Maruti,Alto K10 VXI (O) AMT,Automatic,2017,01-12-2017,Petrol,998,49080,1st owner,322000,6295,TRUE,Yes,UP16,2017 Maruti Alto K10 VXI (O) AMT
Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2021,01-07-2021,Petrol,1197,39272,2nd owner,710000,13877,TRUE,No,HR26,2021 Maruti Baleno ZETA CVT PETROL 1.2
Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,2017,01-07-2017,Petrol,1197,52658,1st owner,477000,9318,TRUE,No,DL12,2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT
Maruti,Celerio VXI AMT,Automatic,2016,01-08-2016,Petrol,998,68891,1st owner,360000,7044,TRUE,Yes,DL9C,2016 Maruti Celerio VXI AMT
Honda,Jazz 1.2L I-VTEC V,Manual,2018,01-03-2018,Petrol,1199,44929,1st owner,513000,10024,TRUE,Yes,UP14,2018 Honda Jazz 1.2L I-VTEC V
Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,2020,01-11-2020,CNG,998,65103,1st owner,494000,9658,TRUE,No,HR81,2020 Maruti New Wagon-R LXI CNG (O) 1.0
Hyundai,Xcent S (O) 1.2,Manual,2014,01-06-2014,Petrol,1197,89712,2nd owner,297000,6607,TRUE,Yes,DL3C,2014 Hyundai Xcent S (O) 1.2
Tata,NEXON XZA PLUS SUNROOF PETROL,Automatic,2021,01-11-2021,Petrol,1199,43545,1st owner,912000,17359,TRUE,Yes,UP16,2021 Tata NEXON XZA PLUS SUNROOF PETROL
Toyota,Etios VX,Manual,2011,01-03-2011,Petrol,1496,71433,1st owner,232000,10921,TRUE,No,DL4C,2011 Toyota Etios VX
Maruti,Baleno ZETA PETROL 1.2,Manual,2020,01-08-2020,Petrol,1197,58514,1st owner,626000,12230,TRUE,Yes,DL2C,2020 Maruti Baleno ZETA PETROL 1.2
Honda,Amaze 1.2L I-VTEC VX,Manual,2015,01-10-2015,Petrol,1198,115667,1st owner,368000,8185,TRUE,No,DL1C,2015 Honda Amaze 1.2L I-VTEC VX
